datetime,device,temperature,humidity
2026-03-16 18:42:26,防水温湿度計 箱の外 上,15.5,39
2026-03-16 18:42:26,防水温湿度計 上,20.5,73
2026-03-16 18:42:26,防水温湿度計 下,18.7,84
2026-03-16 20:03:52,防水温湿度計 箱の外 上,15.6,38
2026-03-16 20:03:52,防水温湿度計 上,20.5,74
2026-03-16 20:03:52,防水温湿度計 下,18.7,84
2026-03-16 21:59:08,防水温湿度計 箱の外 上,14.9,39
2026-03-16 21:59:08,防水温湿度計 上,19.9,73
2026-03-16 21:59:08,防水温湿度計 下,18,82
2026-03-16 23:01:02,防水温湿度計 箱の外 上,15.3,44
2026-03-16 23:01:02,防水温湿度計 上,20.3,76
2026-03-16 23:01:02,防水温湿度計 下,18.6,86
2026-03-16 23:57:20,防水温湿度計 箱の外 上,17.5,43
2026-03-16 23:57:20,防水温湿度計 上,21.3,78
2026-03-16 23:57:20,防水温湿度計 下,19.8,87
2026-03-17 05:14:54,防水温湿度計 箱の外 上,26.1,27
2026-03-17 05:14:54,防水温湿度計 上,25.9,76
2026-03-17 05:14:54,防水温湿度計 下,26,80
2026-03-17 08:02:16,防水温湿度計 箱の外 上,26,24
2026-03-17 08:02:16,防水温湿度計 上,26.7,65
2026-03-17 08:02:16,防水温湿度計 下,26.7,70
2026-03-17 10:36:52,防水温湿度計 箱の外 上,19.7,29
2026-03-17 10:36:52,防水温湿度計 上,23.7,67
2026-03-17 10:36:52,防水温湿度計 下,22.6,73
2026-03-17 12:08:00,防水温湿度計 箱の外 上,18.1,33
2026-03-17 12:08:00,防水温湿度計 上,22.5,71
2026-03-17 12:08:00,防水温湿度計 下,20.9,80
2026-03-17 15:46:05,防水温湿度計 箱の外 上,17.1,37
2026-03-17 15:46:05,防水温湿度計 上,21.4,70
2026-03-17 15:46:05,防水温湿度計 下,19.6,79
2026-03-17 18:13:18,防水温湿度計 箱の外 上,16.5,38
2026-03-17 18:13:18,防水温湿度計 上,21,70
2026-03-17 18:13:18,防水温湿度計 下,19.2,79
2026-03-17 20:04:06,防水温湿度計 箱の外 上,15.3,40
2026-03-17 20:04:06,防水温湿度計 上,20.7,73
2026-03-17 20:04:06,防水温湿度計 下,18.9,82
2026-03-17 21:59:38,防水温湿度計 箱の外 上,15.7,40
2026-03-17 21:59:38,防水温湿度計 上,20.6,72
2026-03-17 21:59:38,防水温湿度計 下,18.9,82
2026-03-17 23:05:31,防水温湿度計 箱の外 上,16.4,47
2026-03-17 23:05:31,防水温湿度計 上,21,78
2026-03-17 23:05:31,防水温湿度計 下,19.2,85
2026-03-18 00:01:36,防水温湿度計 箱の外 上,17.8,48
2026-03-18 00:01:36,防水温湿度計 上,21.7,83
2026-03-18 00:01:36,防水温湿度計 下,20.2,90
2026-03-18 05:40:49,防水温湿度計 箱の外 上,24.2,34
2026-03-18 05:40:49,防水温湿度計 上,25.9,75
2026-03-18 05:40:49,防水温湿度計 下,25.4,80
2026-03-18 08:03:32,防水温湿度計 箱の外 上,20.8,48
